Protein1,Protein2,Confidence,Comment
PA3873,PA3874,1,In_reference_set
PA4418,PA4410,1,In_reference_set
PA0456,PA5239,1,In_reference_set
PA0001,PA4261,1,In_reference_set
PA4239,PA4240,1,In_reference_set
PA3636,PA1803,1,In_reference_set
PA0782,PA0783,1,In_reference_set
PA3494,PA3495,1,In_reference_set
PA4768,PA4248,1,In_reference_set
PA3654,PA4271,1,In_reference_set
PA1449,PA1455,1,In_reference_set
PA3744,PA3745,1,In_reference_set
PA3987,PA4385,1,In_reference_set
PA0580,PA4277,1,In_reference_set
PA0313,PA2923,1,In_reference_set
PA1452,PA1455,1,In_reference_set
PA2626,PA4566,1,In_reference_set
PA1078,PA1452,1,In_reference_set
PA3657,PA4274,1,In_reference_set
PA4967,PA4260,1,In_reference_set
PA4819,PA4263,1,In_reference_set
PA1803,PA3656,1,In_reference_set
PA2743,PA4432,1,In_reference_set
PA3011,PA4258,1,In_reference_set
PA4756,PA4755,1,In_reference_set
PA4262,PA4267,1,In_reference_set
PA1544,PA0576,1,In_reference_set
PA4239,PA4273,1,In_reference_set
PA3714,PA4271,1,In_reference_set
PA0336,PA4257,1,In_reference_set
PA5243,PA5034,1,In_reference_set
PA0456,PA2840,1,In_reference_set
PA4807,PA3742,1,In_reference_set
PA3622,PA4270,1,In_reference_set
PA4934,PA4932,1,In_reference_set
PA4752,PA3656,1,In_reference_set
PA4760,PA5554,1,In_reference_set
PA5316,PA5331,1,In_reference_set
PA4260,PA4271,1,In_reference_set
PA2840,PA4239,1,In_reference_set
PA1534,PA2585,1,In_reference_set
PA3832,PA4403,1,In_reference_set
PA3976,PA4973,1,In_reference_set
PA3980,PA4761,1,In_reference_set
PA3138,PA5016,1,In_reference_set
PA4385,PA0402,1,In_reference_set
PA4261,PA4244,1,In_reference_set
PA3627,PA3337,1,In_reference_set
PA3806,PA0546,1,In_reference_set
PA3083,PA4385,1,In_reference_set
PA3981,PA4239,1,In_reference_set
PA4752,PA4258,1,In_reference_set
PA3769,PA3637,1,In_reference_set
PA4724,PA4723,1,In_reference_set
PA4967,PA4273,1,In_reference_set
PA3823,PA4932,1,In_reference_set
PA2840,PA5015,1,In_reference_set
PA1618,PA4267,1,In_reference_set
PA2619,PA4744,1,In_reference_set
PA4745,PA4749,1,In_reference_set
PA2975,PA4932,1,In_reference_set
PA5302,PA4385,1,In_reference_set
PA1534,PA5345,1,In_reference_set
PA3746,PA4272,1,In_reference_set
PA4359,PA4358,1,In_reference_set
PA4052,PA3832,1,In_reference_set
PA2975,PA4252,1,In_reference_set
PA4258,PA4270,1,In_reference_set
PA4420,PA4271,1,In_reference_set
PA3490,PA3495,1,In_reference_set
PA3743,PA3746,1,In_reference_set
PA1079,PA1083,1,In_reference_set
PA1586,PA1589,1,In_reference_set
PA0376,PA4761,1,In_reference_set
PA4237,PA4260,1,In_reference_set
PA5277,PA5085,1,In_reference_set
PA0966,PA5050,1,In_reference_set
PA4248,PA4273,1,In_reference_set
PA1179,PA5200,1,In_reference_set
PA3806,PA4252,1,In_reference_set
PA1800,PA3656,1,In_reference_set
PA0945,PA4855,1,In_reference_set
PA4385,PA4762,1,In_reference_set
PA1832,PA4240,1,In_reference_set
PA4275,PA4263,1,In_reference_set
PA1816,PA3640,1,In_reference_set
PA4948,PA4385,1,In_reference_set
PA4283,PA5015,1,In_reference_set
PA3861,PA4239,1,In_reference_set
PA4463,PA0002,1,In_reference_set
PA4761,PA3534,1,In_reference_set
PA3981,PA5015,1,In_reference_set
PA1534,PA0772,1,In_reference_set
PA5153,PA2924,1,In_reference_set
PA2614,PA4264,1,In_reference_set
PA4248,PA4275,1,In_reference_set
PA4240,PA4241,1,In_reference_set
PA3823,PA4768,1,In_reference_set
PA5360,PA1636,1,In_reference_set
PA4744,PA4762,1,In_reference_set
PA4841,PA4761,1,In_reference_set
PA5371,PA5316,1,In_reference_set
PA2975,PA4237,1,In_reference_set
PA1802,PA4277,1,In_reference_set
PA4019,PA5237,1,In_reference_set
PA4403,PA4761,1,In_reference_set
PA4678,PA2071,1,In_reference_set
PA4238,PA4252,1,In_reference_set
PA4749,PA4752,1,In_reference_set
PA5259,PA5260,1,In_reference_set
PA1802,PA4762,1,In_reference_set
PA1803,PA4258,1,In_reference_set
PA3861,PA4267,1,In_reference_set
PA4254,PA4258,1,In_reference_set
PA3878,PA3876,1,In_reference_set
PA1053,PA3341,1,In_reference_set
PA3495,PA5016,1,In_reference_set
PA1086,PA1443,1,In_reference_set
PA2741,PA2743,1,In_reference_set
PA5015,PA5016,1,In_reference_set
PA4239,PA4262,1,In_reference_set
PA1564,PA5015,1,In_reference_set
PA3987,PA4031,1,In_reference_set
PA4473,PA4251,1,In_reference_set
PA3379,PA3380,1,In_reference_set
PA3372,PA3374,1,In_reference_set
PA5322,PA4749,1,In_reference_set
PA0004,PA3656,1,In_reference_set
PA0009,PA4760,1,In_reference_set
PA3806,PA3162,1,In_reference_set
PA4473,PA4403,1,In_reference_set
PA5338,PA3162,1,In_reference_set
PA5169,PA3779,1,In_reference_set
PA4944,PA4807,1,In_reference_set
PA4238,PA4935,1,In_reference_set
PA4563,PA4839,1,In_reference_set
PA0873,PA5556,1,In_reference_set
PA5338,PA4932,1,In_reference_set
PA5366,PA4761,1,In_reference_set
PA0336,PA4239,1,In_reference_set
PA1081,PA1449,1,In_reference_set
PA2812,PA4760,1,In_reference_set
PA0336,PA4252,1,In_reference_set
PA4084,PA4085,1,In_reference_set
PA4258,PA2071,1,In_reference_set
PA2647,PA2643,1,In_reference_set
PA4238,PA4271,1,In_reference_set
PA2622,PA3048,1,In_reference_set
PA2622,PA0456,1,In_reference_set
PA1816,PA4271,1,In_reference_set
PA4937,PA2743,1,In_reference_set
PA2961,PA5015,1,In_reference_set
PA2812,PA2741,1,In_reference_set
PA4421,PA4418,1,In_reference_set
PA3806,PA4241,1,In_reference_set
PA1082,PA1449,1,In_reference_set
PA1340,PA1342,1,In_reference_set
PA4407,PA4403,1,In_reference_set
PA5209,PA5016,1,In_reference_set
PA4420,PA4264,1,In_reference_set
PA4567,PA4244,1,In_reference_set
PA3861,PA4257,1,In_reference_set
PA4760,PA2071,1,In_reference_set
PA5335,PA1587,1,In_reference_set
PA3981,PA4258,1,In_reference_set
PA0775,PA0774,1,In_reference_set
PA4403,PA4243,1,In_reference_set
PA4750,PA4751,1,In_reference_set
PA2640,PA2639,1,In_reference_set
PA4751,PA4752,1,In_reference_set
PA4308,PA2197,1,In_reference_set
PA2975,PA4239,1,In_reference_set
PA1339,PA0313,1,In_reference_set
PA1543,PA0934,1,In_reference_set
PA4944,PA4477,1,In_reference_set
PA1534,PA3617,1,In_reference_set
PA3813,PA4761,1,In_reference_set
PA2644,PA2641,1,In_reference_set
PA0972,PA0973,1,In_reference_set
PA4413,PA4407,1,In_reference_set
PA1804,PA4260,1,In_reference_set
PA4161,PA4159,1,In_reference_set
PA4433,PA4262,1,In_reference_set
PA1922,PA5556,1,In_reference_set
PA5275,PA0002,1,In_reference_set
